Nº DE INSCRICIÓN; TIPO ENTIDADE; NOME; ENDEREZO; CÓD. POSTAL; CÓDIGO DE PROVINCIA; PROVINCIA; CÓDIGO DE CONCELLO; CONCELLO; TELÉFONO; DATA DE ALTA; TIPO_MODALIDADE; MODALIDADE; TIPO_ESPECIALIDADE; ESPECIALIDADE
C-08194;CLUBE DEPORTIVO;ASOCIACIÓN DEPORTIVA AMES;R/ ROSALÍA DE CASTRO  Nº 1   PORTAL 2    2º D;15895;15;A CORUÑA;15002;AMES;652972107;01/07/2004;4;BÁDMINTON;0;;
C-08194;CLUBE DEPORTIVO;ASOCIACIÓN DEPORTIVA AMES;R/ ROSALÍA DE CASTRO  Nº 1   PORTAL 2    2º D;15895;15;A CORUÑA;15002;AMES;652972107;01/07/2004;5;BALONCESTO;0;;
C-08194;CLUBE DEPORTIVO;ASOCIACIÓN DEPORTIVA AMES;R/ ROSALÍA DE CASTRO  Nº 1   PORTAL 2    2º D;15895;15;A CORUÑA;15002;AMES;652972107;01/07/2004;24;FÚTBOL;0;;
C-08194;CLUBE DEPORTIVO;ASOCIACIÓN DEPORTIVA AMES;R/ ROSALÍA DE CASTRO  Nº 1   PORTAL 2    2º D;15895;15;A CORUÑA;15002;AMES;652972107;01/07/2004;37;PATINAXE;0;;
C-08194;CLUBE DEPORTIVO;ASOCIACIÓN DEPORTIVA AMES;R/ ROSALÍA DE CASTRO  Nº 1   PORTAL 2    2º D;15895;15;A CORUÑA;15002;AMES;652972107;01/07/2004;48;TENIS;0;;
C-08194;CLUBE DEPORTIVO;ASOCIACIÓN DEPORTIVA AMES;R/ ROSALÍA DE CASTRO  Nº 1   PORTAL 2    2º D;15895;15;A CORUÑA;15002;AMES;652972107;01/07/2004;49;TENIS DE MESA;0;;
C-08194;CLUBE DEPORTIVO;ASOCIACIÓN DEPORTIVA AMES;R/ ROSALÍA DE CASTRO  Nº 1   PORTAL 2    2º D;15895;15;A CORUÑA;15002;AMES;652972107;01/07/2004;55;XADREZ;0;;
C-11716;CLUBE DEPORTIVO;ASOCIACIÓN DEPORTIVA BASQUET AMES;ROSALIA DE CASTRO, Nº 69-5ºD;15895;15;A CORUÑA;15002;AMES;699463922;04/10/2013;5;BALONCESTO;0;;
C-08755;CLUBE DEPORTIVO;ASOCIACIÓN DEPORTIVA VAL DA MAHÍA;AVDA. DA MAHIA, 36 - 2ºB;15220;15;A CORUÑA;15002;AMES;653380388;19/12/2005;48;TENIS;0;;
C-02805;CLUBE DEPORTIVO;BERTAMIRANS FUTBOL C.;AVENIDA DA MAHÍA, 78, BAIXO;15220;15;A CORUÑA;15002;AMES;676558510;24/10/1990;24;FÚTBOL;0;;
C-09447;CLUBE DEPORTIVO;BERTAMIRÁNS C.B.;PRAZA MAIA, 8-3ºG;15220;15;A CORUÑA;15002;AMES;636461964;17/09/2007;5;BALONCESTO;0;;
C-11830;CLUBE DEPORTIVO;BIKEMAHIA-BIKEMANIA;ENTRERRIOS, 8;;15;A CORUÑA;15002;AMES;626986790;30/01/2014;13;CICLISMO;0;;
C-12428;CLUBE DEPORTIVO;BTT MILLADOIRO;AGRO DO MEDIO, LOCAL 5, Nº 3;15895;15;A CORUÑA;15002;AMES;653299348;28/10/2015;13;CICLISMO;0;;
C-02921;CLUBE DEPORTIVO;C. ADOEGA;ROSALIA CASTRO, 62 AT;;15;A CORUÑA;15002;AMES;981-812031;17/01/1991;13;CICLISMO;0;;
C-05306;CLUBE DEPORTIVO;C. ATLETISMO SAR;PRAZA DO CONCELLO, 1, 2ºA;15220;15;A CORUÑA;15002;AMES;981890518;19/12/1996;2;ATLETISMO;0;;
C-03486;CLUBE DEPORTIVO;C. BIDUIDO S.R.;LOCAL SOCIAL BAJO ESCUELA;15895;15;A CORUÑA;15002;AMES;981-523399;05/03/1992;24;FÚTBOL;0;;
C-04968;CLUBE DEPORTIVO;C. BISPO GUERRA CAMPOS;CTRA. DE NEGREIRA C.P. BISPO GUERRA CAMPOS;15220;15;A CORUÑA;15002;AMES;;20/03/1996;30;KÁRATE E D.A.;0;;
C-02782;CLUBE DEPORTIVO;C. BUGALLIDO C.F.;EIRAPEDRIÑA;15866;15;A CORUÑA;15002;AMES;981-883177;09/10/1990;24;FÚTBOL;0;;
C-00868;CLUBE DEPORTIVO;C. DE PIRAGÜÍSMO RIBEIRAS DO TAMBRE;LUGAR PRAIA FLUVIAL TAPIA;15871;15;A CORUÑA;15002;AMES;616876102;20/06/1986;13;CICLISMO;0;;
C-00868;CLUBE DEPORTIVO;C. DE PIRAGÜÍSMO RIBEIRAS DO TAMBRE;LUGAR PRAIA FLUVIAL TAPIA;15871;15;A CORUÑA;15002;AMES;616876102;20/06/1986;42;PIRAGÜISMO;0;;
C-05448;CLUBE DEPORTIVO;C. DE TENIS TEIRABOA;PRAZA DO CONCELLO Nº5,P1-1ºA;15220;15;A CORUÑA;15002;AMES;981-890820;26/05/1997;48;TENIS;0;;
C-04032;CLUBE DEPORTIVO;C. ORTOÑO;LA IGLESIA, S/N;15228;15;A CORUÑA;15002;AMES;981-883929;30/09/1993;24;FÚTBOL;0;;
C-02773;CLUBE DEPORTIVO;C. UNION D. COBAS;ALTO DO VENTO, S/N;15864;15;A CORUÑA;15002;AMES;981-884096;02/10/1990;24;FÚTBOL;0;;
